#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D04
#Date Time: 2023-02-22 20:11:34.744
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5.59167 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 100 mV/div Offset: -5.5731 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: -4.3874 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.02559991883116883,5.589500605151096,4.398894224954906
-0.02559366883116883,5.589500605151096,4.398894224954906
-0.02558741883116883,5.589169191219796,4.398561392935831
-0.02558116883116883,5.589832019082397,4.39922705697398
-0.02557491883116883,5.589500605151096,4.399559888993054
-0.02556866883116883,5.589500605151096,4.398894224954906
-0.02556241883116883,5.589832019082397,4.399559888993053
-0.02555616883116883,5.589500605151096,4.398561392935831
-0.02554991883116883,5.589500605151096,4.398894224954906
-0.02554366883116883,5.589500605151096,4.39922705697398
-0.02553741883116883,5.589832019082397,4.398894224954906
-0.02553116883116883,5.589169191219797,4.398561392935832
-0.02552491883116883,5.590163433013698,4.399892721012129
-0.02551866883116883,5.589500605151096,4.398894224954906
-0.02551241883116883,5.589500605151096,4.398561392935831
-0.02550616883116883,5.589169191219796,4.397230064859534
-0.02549991883116883,5.589169191219796,4.397230064859535
-0.02549366883116883,5.589500605151096,4.399559888993054
-0.02548741883116883,5.589832019082397,4.39922705697398
-0.02548116883116883,5.589169191219796,4.397562896878608
-0.02547491883116883,5.590163433013698,4.400891217069351
-0.02546866883116883,5.590826260876299,4.40255537716472
-0.02546241883116883,5.588837777288496,4.398561392935831
-0.02545616883116883,5.5908262608763,4.400225553031203
-0.02544991883116883,5.589832019082397,4.399559888993054
-0.02544366883116883,5.589500605151096,4.400558385050277
-0.02543741883116883,5.590163433013697,4.399227056973979
-0.02543116883116883,5.589169191219796,4.39689723284046
-0.02542491883116883,5.589169191219796,4.39922705697398
-0.02541866883116883,5.589832019082397,4.400225553031203
-0.02541241883116883,5.589500605151096,4.398561392935831
-0.02540616883116883,5.589832019082397,4.398561392935831
-0.02539991883116883,5.589500605151096,4.398228560916757
-0.02539366883116883,5.588837777288496,4.398228560916757
-0.02538741883116883,5.589500605151096,4.398228560916757
-0.02538116883116883,5.589169191219796,4.396564400821386
-0.02537491883116883,5.589169191219796,4.398228560916756
-0.02536866883116883,5.589169191219796,4.39689723284046
-0.02536241883116883,5.588837777288496,4.398228560916757
-0.02535616883116883,5.591489088738901,4.403553873221945
-0.02534991883116883,5.589169191219796,4.400558385050277
-0.02534366883116883,5.592814744464102,4.407215025431759
-0.02533741883116883,5.588837777288496,4.398228560916757
-0.02533116883116883,5.589832019082397,4.39922705697398
-0.02532491883116883,5.589832019082397,4.400891217069351
-0.02531866883116883,5.588174949425894,4.393568912649718
-0.02531241883116883,5.590163433013697,4.401556881107496
-0.02530616883116883,5.589500605151096,4.398561392935831
-0.02529991883116883,5.589500605151096,4.400225553031203
-0.02529366883116883,5.591489088738901,4.402555377164722
-0.02528741883116883,5.587180707631992,4.393568912649718
-0.02528116883116883,5.590163433013696,4.401224049088421
-0.02527491883116883,5.590494846944999,4.404219537260094
-0.02526866883116883,5.592483330532803,4.405550865336391
-0.02526241883116883,5.590494846944999,4.399559888993054
-0.02525616883116883,5.587512121563293,4.394234576687866
-0.02524991883116883,5.588174949425894,4.397562896878607
-0.02524366883116883,5.589500605151096,4.400225553031203
-0.02523741883116883,5.589500605151096,4.397562896878608
-0.02523116883116883,5.588837777288496,4.394900240726015
-0.02522491883116883,5.587843535494594,4.395898736783237
-0.02521866883116883,5.588506363357195,4.397230064859533
-0.02521241883116883,5.589500605151096,4.39922705697398
-0.02520616883116883,5.590494846944999,4.400225553031203
-0.02519991883116883,5.590163433013698,4.399892721012129
-0.02519366883116883,5.588506363357195,4.39689723284046
-0.02518741883116883,5.589500605151096,4.398894224954905
-0.02518116883116883,5.590163433013698,4.400225553031203
-0.02517491883116883,5.590163433013698,4.399559888993054
-0.02516866883116883,5.588837777288496,4.396564400821386
-0.02516241883116883,5.589832019082397,4.398228560916757
-0.02515616883116883,5.589169191219796,4.399227056973979
-0.02514991883116883,5.589832019082397,4.400225553031203
-0.02514366883116883,5.589832019082397,4.398894224954906
-0.02513741883116883,5.589500605151096,4.398894224954906
-0.02513116883116883,5.590163433013698,4.400891217069351
-0.02512491883116883,5.590494846944999,4.400891217069351
-0.02511866883116883,5.589832019082397,4.397895728897683
-0.02511241883116883,5.589832019082397,4.39922705697398
-0.02510616883116883,5.589500605151096,4.399559888993054
-0.02509991883116883,5.589500605151096,4.398894224954906
-0.02509366883116883,5.589832019082397,4.39922705697398
-0.02508741883116883,5.590163433013698,4.399892721012129
-0.02508116883116883,5.589832019082397,4.400225553031203
-0.02507491883116883,5.589500605151096,4.398561392935831
-0.02506866883116883,5.589832019082397,4.39922705697398
-0.02506241883116883,5.590494846944999,4.401224049088424
-0.02505616883116883,5.589500605151096,4.39922705697398
-0.02504991883116883,5.590163433013698,4.400225553031203
-0.02504366883116883,5.590163433013698,4.399892721012129
-0.02503741883116883,5.588837777288496,4.397230064859534
-0.02503116883116883,5.589500605151096,4.397562896878608
-0.02502491883116883,5.587843535494594,4.393568912649718
-0.02501866883116883,5.590163433013698,4.400891217069351
-0.02501241883116883,5.590163433013698,4.401556881107499
-0.02500616883116883,5.588837777288496,4.397562896878608
-0.02499991883116883,5.590163433013698,4.400558385050277
