#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D04
#Date Time: 2023-02-08 21:39:41.661
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 4.40395 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 100 mV/div Offset: -4.393 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.02559383223684211,4.40079711776399
-0.0255875822368421,4.4070939824587
-0.0255813322368421,4.401459945626591
-0.0255750822368421,4.402785601351794
-0.0255688322368421,4.406762568527403
-0.02556258223684211,4.402122773489193
-0.0255563322368421,4.402785601351796
-0.0255500822368421,4.406099740664801
-0.0255438322368421,4.40046570383269
-0.0255375822368421,4.403779843145696
-0.02553133223684211,4.4057683267335
-0.0255250822368421,4.40013428990139
-0.0255188322368421,4.404442671008297
-0.0255125822368421,4.405105498870899
-0.0255063322368421,4.40112853169529
-0.02550008223684211,4.405105498870899
-0.0254938322368421,4.404442671008296
-0.0254875822368421,4.40079711776399
-0.0254813322368421,4.406099740664801
-0.0254750822368421,4.403117015283095
-0.02546883223684211,4.40079711776399
-0.0254625822368421,4.405768326733498
-0.0254563322368421,4.402785601351794
-0.0254500822368421,4.40112853169529
-0.0254438322368421,4.407093982458703
-0.02543758223684211,4.40079711776399
-0.0254313322368421,4.403117015283097
-0.0254250822368421,4.406431154596102
-0.0254188322368421,4.402122773489193
-0.0254125822368421,4.403117015283095
-0.02540633223684211,4.406099740664801
-0.0254000822368421,4.40013428990139
-0.0253938322368421,4.404774084939598
-0.0253875822368421,4.405105498870899
-0.0253813322368421,4.399802875970088
-0.02537508223684211,4.404774084939598
-0.02536883223684211,4.404774084939598
-0.0253625822368421,4.40079711776399
-0.0253563322368421,4.4057683267335
-0.0253500822368421,4.403779843145696
-0.02534383223684211,4.40046570383269
-0.02533758223684211,4.4070939824587
-0.0253313322368421,4.402785601351794
-0.0253250822368421,4.401791359557892
-0.0253188322368421,4.4057683267335
-0.02531258223684211,4.402122773489193
-0.02530633223684211,4.401791359557892
-0.0253000822368421,4.407425396390003
-0.0252938322368421,4.40079711776399
-0.0252875822368421,4.403117015283095
-0.02528133223684211,4.406431154596102
-0.02527508223684211,4.402122773489195
-0.0252688322368421,4.403779843145696
-0.0252625822368421,4.4057683267335
-0.0252563322368421,4.399802875970088
-0.02525008223684211,4.405105498870899
-0.02524383223684211,4.405105498870899
-0.0252375822368421,4.399471462038788
-0.0252313322368421,4.404442671008297
-0.0252250822368421,4.404442671008297
-0.02521883223684211,4.40079711776399
-0.02521258223684211,4.406099740664798
-0.0252063322368421,4.402785601351794
-0.0252000822368421,4.40079711776399
-0.0251938322368421,4.406762568527403
-0.0251875822368421,4.402454187420493
-0.02518133223684211,4.401459945626592
-0.0251750822368421,4.406099740664801
-0.0251688322368421,4.401459945626591
-0.0251625822368421,4.401791359557892
-0.0251563322368421,4.407425396390003
-0.02515008223684211,4.400465703832693
-0.0251438322368421,4.403117015283095
-0.0251375822368421,4.406099740664801
-0.0251313322368421,4.401459945626591
-0.0251250822368421,4.403779843145696
-0.02511883223684211,4.405768326733499
-0.0251125822368421,4.399802875970088
-0.0251063322368421,4.4057683267335
-0.0251000822368421,4.404442671008297
-0.0250938322368421,4.399802875970088
-0.02508758223684211,4.405105498870896
-0.0250813322368421,4.403448429214396
-0.0250750822368421,4.40079711776399
-0.0250688322368421,4.406099740664801
-0.0250625822368421,4.402454187420493
-0.02505633223684211,4.401459945626592
-0.0250500822368421,4.406431154596102
-0.0250438322368421,4.402454187420493
-0.0250375822368421,4.401459945626591
-0.0250313322368421,4.4057683267335
-0.02502508223684211,4.40112853169529
-0.0250188322368421,4.402454187420493
-0.0250125822368421,4.406762568527403
-0.0250063322368421,4.40046570383269
-0.0250000822368421,4.403448429214396
-0.02499383223684211,4.4057683267335
-0.0249875822368421,4.401459945626591
-0.0249813322368421,4.403779843145696
-0.0249750822368421,4.4057683267335
-0.0249688322368421,4.399471462038788
-0.02496258223684211,4.406099740664801
-0.0249563322368421,4.403779843145696
-0.0249500822368421,4.400134289901389
-0.0249438322368421,4.405105498870899
-0.0249375822368421,4.403448429214396
-0.02493133223684211,4.40079711776399
-0.0249250822368421,4.4067625685274
-0.0249188322368421,4.401459945626591
-0.0249125822368421,4.402122773489193
-0.0249063322368421,4.406431154596102
-0.02490008223684211,4.402785601351794
-0.0248938322368421,4.402122773489195
-0.0248875822368421,4.4057683267335
-0.0248813322368421,4.40079711776399
-0.0248750822368421,4.402785601351794
-0.02486883223684211,4.406762568527403
-0.0248625822368421,4.40013428990139
-0.0248563322368421,4.403779843145696
-0.0248500822368421,4.4057683267335
-0.0248438322368421,4.401791359557892
-0.02483758223684211,4.404111257076996
-0.0248313322368421,4.405105498870896
-0.0248250822368421,4.399471462038788
-0.0248188322368421,4.406431154596102
-0.0248125822368421,4.403448429214396
-0.02480633223684211,4.40046570383269
-0.0248000822368421,4.405768326733499
-0.0247938322368421,4.403448429214396
-0.0247875822368421,4.40079711776399
-0.0247813322368421,4.407425396390003
-0.02477508223684211,4.40079711776399
-0.0247688322368421,4.402454187420495
-0.0247625822368421,4.406762568527403
-0.0247563322368421,4.402122773489193
-0.0247500822368421,4.402454187420493
-0.02474383223684211,4.406431154596102
-0.0247375822368421,4.40013428990139
-0.0247313322368421,4.403779843145696
-0.0247250822368421,4.406099740664801
-0.0247188322368421,4.400134289901389
-0.02471258223684211,4.404111257076996
-0.0247063322368421,4.405436912802197
