#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D04
#Date Time: 2023-02-08 21:42:03.240
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 4.40395 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 100 mV/div Offset: -4.393 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.0255973599137931,4.407756810321304
-0.0255911099137931,4.407425396390005
-0.0255848599137931,4.411070949634311
-0.0255786099137931,4.4057683267335
-0.0255723599137931,4.408088224252605
-0.0255661099137931,4.411733777496912
-0.0255598599137931,4.405105498870901
-0.0255536099137931,4.409082466046507
-0.0255473599137931,4.41073953570301
-0.0255411099137931,4.406762568527403
-0.0255348599137931,4.409745293909109
-0.0255286099137931,4.410408121771707
-0.0255223599137931,4.405436912802199
-0.0255161099137931,4.411402363565611
-0.0255098599137931,4.408751052115206
-0.0255036099137931,4.405436912802199
-0.0254973599137931,4.410739535703009
-0.0254911099137931,4.407756810321304
-0.0254848599137931,4.406099740664801
-0.0254786099137931,4.412728019290814
-0.0254723599137931,4.406431154596102
-0.0254661099137931,4.407756810321306
-0.0254598599137931,4.411733777496912
-0.0254536099137931,4.407756810321304
-0.0254473599137931,4.407756810321304
-0.0254411099137931,4.411402363565611
-0.0254348599137931,4.405436912802201
-0.0254286099137931,4.408751052115206
-0.0254223599137931,4.411070949634311
-0.0254161099137931,4.405436912802199
-0.0254098599137931,4.409745293909109
-0.0254036099137931,4.410076707840407
-0.0253973599137931,4.407093982458703
-0.0253911099137931,4.410408121771709
-0.0253848599137931,4.409745293909109
-0.0253786099137931,4.405436912802199
-0.0253723599137931,4.41239660535951
-0.0253661099137931,4.408751052115206
-0.0253598599137931,4.406099740664801
-0.0253536099137931,4.411070949634311
-0.0253473599137931,4.407756810321304
-0.0253411099137931,4.407093982458703
-0.0253348599137931,4.412396605359514
-0.0253286099137931,4.406099740664801
-0.0253223599137931,4.408088224252605
-0.0253161099137931,4.412065191428213
-0.0253098599137931,4.407756810321306
-0.0253036099137931,4.408088224252605
-0.0252973599137931,4.411733777496912
-0.0252911099137931,4.405436912802199
-0.0252848599137931,4.410076707840409
-0.0252786099137931,4.41073953570301
-0.0252723599137931,4.405105498870899
-0.0252661099137931,4.410076707840409
-0.0252598599137931,4.410076707840409
-0.0252536099137931,4.406099740664801
-0.0252473599137931,4.411070949634309
-0.0252411099137931,4.409413879977808
-0.0252348599137931,4.4057683267335
-0.0252286099137931,4.411733777496912
-0.0252223599137931,4.408751052115206
-0.0252161099137931,4.406431154596103
-0.0252098599137931,4.411070949634311
-0.0252036099137931,4.407093982458703
-0.0251973599137931,4.406762568527403
-0.0251911099137931,4.412728019290814
-0.0251848599137931,4.405768326733503
-0.0251786099137931,4.408419638183905
-0.0251723599137931,4.411402363565611
-0.0251661099137931,4.407425396390003
-0.0251598599137931,4.408751052115206
-0.0251536099137931,4.41140236356561
-0.0251473599137931,4.404774084939598
-0.0251411099137931,4.41073953570301
-0.0251348599137931,4.409745293909109
-0.0251286099137931,4.405105498870899
-0.0251223599137931,4.410076707840406
-0.0251161099137931,4.409082466046507
-0.0251098599137931,4.406099740664801
-0.0251036099137931,4.411733777496912
-0.0250973599137931,4.408088224252605
-0.0250911099137931,4.406431154596103
-0.0250848599137931,4.411733777496912
-0.0250786099137931,4.408088224252605
-0.0250723599137931,4.406762568527403
-0.0250661099137931,4.411402363565611
-0.0250598599137931,4.406762568527404
-0.0250536099137931,4.407093982458703
-0.0250473599137931,4.412728019290814
-0.0250411099137931,4.405436912802199
-0.0250348599137931,4.408751052115206
-0.0250286099137931,4.411402363565611
-0.0250223599137931,4.406431154596102
-0.0250161099137931,4.409082466046507
-0.0250098599137931,4.411070949634311
-0.0250036099137931,4.404774084939598
-0.0249973599137931,4.411402363565611
-0.0249911099137931,4.409413879977808
-0.0249848599137931,4.405436912802199
-0.0249786099137931,4.410408121771709
-0.0249723599137931,4.408419638183905
-0.0249661099137931,4.4057683267335
-0.0249598599137931,4.412396605359514
-0.0249536099137931,4.407093982458703
-0.0249473599137931,4.407093982458703
-0.0249411099137931,4.412065191428213
-0.0249348599137931,4.407756810321304
-0.0249286099137931,4.407425396390005
-0.0249223599137931,4.411402363565611
-0.0249161099137931,4.406099740664801
-0.0249098599137931,4.407756810321304
-0.0249036099137931,4.412396605359514
-0.0248973599137931,4.405768326733502
-0.0248911099137931,4.409082466046507
-0.0248848599137931,4.41073953570301
-0.0248786099137931,4.407425396390003
-0.0248723599137931,4.410076707840409
-0.0248661099137931,4.410408121771707
-0.0248598599137931,4.405105498870899
-0.0248536099137931,4.411733777496912
-0.0248473599137931,4.409413879977808
-0.0248411099137931,4.4057683267335
-0.0248348599137931,4.41107094963431
-0.0248286099137931,4.408419638183905
-0.0248223599137931,4.406099740664801
-0.0248161099137931,4.412728019290814
-0.0248098599137931,4.407425396390003
-0.0248036099137931,4.407756810321306
-0.0247973599137931,4.412065191428213
-0.0247911099137931,4.407756810321304
-0.0247848599137931,4.408088224252605
-0.0247786099137931,4.411070949634311
-0.0247723599137931,4.406099740664803
-0.0247661099137931,4.409082466046507
-0.0247598599137931,4.411070949634311
-0.0247536099137931,4.405436912802199
-0.0247473599137931,4.409745293909109
-0.0247411099137931,4.410408121771708
-0.0247348599137931,4.406762568527403
-0.0247286099137931,4.410076707840409
-0.0247223599137931,4.410408121771709
-0.0247161099137931,4.405436912802199
-0.0247098599137931,4.41173377749691
