#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D04
#Date Time: 2023-02-22 20:00:56.525
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5.65734 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: -5.69535 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: -4.4325 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.02559936797752809,5.606402715647431,4.412074194274926
-0.02559311797752809,5.60607130171613,4.412739858313074
-0.02558686797752809,5.60607130171613,4.412074194274926
-0.02558061797752809,5.60607130171613,4.411408530236777
-0.02557436797752809,5.606402715647431,4.412074194274926
-0.02556811797752809,5.60607130171613,4.411075698217703
-0.02556186797752809,5.606402715647431,4.411408530236777
-0.02555561797752809,5.60607130171613,4.411408530236777
-0.02554936797752809,5.606402715647431,4.411741362255851
-0.02554311797752809,5.606402715647431,4.412074194274926
-0.02553686797752809,5.60607130171613,4.411741362255851
-0.02553061797752809,5.607065543510033,4.414736850427521
-0.02552436797752809,5.607396957441333,4.418065170618262
-0.02551811797752809,5.605408473853529,4.41007720216048
-0.02551186797752809,5.605408473853529,4.40774737802696
-0.02550561797752809,5.60573988778483,4.409411538122331
-0.02549936797752809,5.60607130171613,4.41174136225585
-0.02549311797752809,5.60607130171613,4.410410034179554
-0.02548686797752809,5.605077059922229,4.407081713988812
-0.02548061797752809,5.605408473853529,4.40774737802696
-0.02547436797752809,5.60573988778483,4.410742866198628
-0.02546811797752809,5.60607130171613,4.412739858313073
-0.02546186797752809,5.60607130171613,4.411408530236777
-0.02545561797752809,5.60607130171613,4.411408530236777
-0.02544936797752809,5.60607130171613,4.411408530236777
-0.02544311797752809,5.60607130171613,4.412074194274926
-0.02543686797752809,5.60607130171613,4.412074194274926
-0.02543061797752809,5.60607130171613,4.411741362255851
-0.02542436797752809,5.60573988778483,4.410742866198628
-0.02541811797752809,5.60607130171613,4.411075698217703
-0.02541186797752809,5.60573988778483,4.410410034179554
-0.02540561797752809,5.60607130171613,4.412074194274926
-0.02539936797752809,5.60607130171613,4.412074194274926
-0.02539311797752809,5.60607130171613,4.411408530236777
-0.02538686797752809,5.60607130171613,4.411075698217703
-0.02538061797752809,5.60607130171613,4.411741362255851
-0.02537436797752809,5.60607130171613,4.411741362255851
-0.02536811797752809,5.60607130171613,4.411741362255851
-0.02536186797752809,5.60607130171613,4.411408530236777
-0.02535561797752809,5.60607130171613,4.411741362255851
-0.02534936797752809,5.60607130171613,4.411408530236777
-0.02534311797752809,5.60607130171613,4.411075698217703
-0.02533686797752809,5.60607130171613,4.411408530236777
-0.02533061797752809,5.60607130171613,4.412074194274926
-0.02532436797752809,5.60607130171613,4.411408530236777
-0.02531811797752809,5.60607130171613,4.410742866198628
-0.02531186797752809,5.60607130171613,4.411075698217703
-0.02530561797752809,5.606402715647431,4.412407026294
-0.02529936797752809,5.60573988778483,4.411408530236777
-0.02529311797752809,5.60607130171613,4.411408530236777
-0.02528686797752809,5.606402715647431,4.411741362255851
-0.02528061797752809,5.606402715647431,4.412074194274926
-0.02527436797752809,5.60607130171613,4.411408530236777
-0.02526811797752809,5.60573988778483,4.411075698217703
-0.02526186797752809,5.60607130171613,4.411408530236777
-0.02525561797752809,5.606402715647431,4.412074194274926
-0.02524936797752809,5.60573988778483,4.410742866198629
-0.02524311797752809,5.60607130171613,4.411408530236777
-0.02523686797752809,5.60607130171613,4.412074194274926
-0.02523061797752809,5.60607130171613,4.411408530236777
-0.02522436797752809,5.60607130171613,4.411075698217703
-0.02521811797752809,5.60573988778483,4.411408530236777
-0.02521186797752809,5.60607130171613,4.411408530236777
-0.02520561797752809,5.60607130171613,4.411741362255851
-0.02519936797752809,5.60607130171613,4.410742866198628
-0.02519311797752809,5.60607130171613,4.411075698217703
-0.02518686797752809,5.60607130171613,4.411741362255851
-0.02518061797752809,5.606402715647431,4.412074194274926
-0.02517436797752809,5.60607130171613,4.411408530236777
-0.02516811797752809,5.604082818128327,4.402754897740846
-0.02516186797752809,5.606402715647431,4.410410034179554
-0.02515561797752809,5.607065543510033,4.416068178503814
-0.02514936797752809,5.60607130171613,4.410742866198628
-0.02514311797752809,5.607065543510033,4.416068178503816
-0.02513686797752809,5.604745645990928,4.407414546007886
-0.02513061797752809,5.60573988778483,4.408745874084183
-0.02512436797752809,5.606734129578731,4.414404018408442
-0.02511811797752809,5.606402715647431,4.413072690332148
-0.02511186797752809,5.60607130171613,4.412739858313074
-0.02510561797752809,5.60607130171613,4.412074194274926
-0.02509936797752809,5.605077059922229,4.408413042065108
-0.02509311797752809,5.606071301716129,4.411075698217702
-0.02508686797752809,5.606734129578732,4.414736850427519
-0.02508061797752809,5.60607130171613,4.412739858313074
-0.02507436797752809,5.60573988778483,4.410742866198628
-0.02506811797752809,5.605408473853529,4.41007720216048
-0.02506186797752809,5.60573988778483,4.41007720216048
-0.02505561797752809,5.60607130171613,4.411408530236777
-0.02504936797752809,5.60573988778483,4.410410034179554
-0.02504311797752809,5.605077059922229,4.40774737802696
-0.02503686797752809,5.605408473853529,4.409078706103257
-0.02503061797752809,5.60573988778483,4.41007720216048
-0.02502436797752809,5.60607130171613,4.411075698217703
-0.02501811797752809,5.60607130171613,4.412739858313074
-0.02501186797752809,5.60607130171613,4.411408530236777
-0.02500561797752809,5.60573988778483,4.41007720216048
-0.02499936797752809,5.60607130171613,4.412074194274926
